epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,11388.9,1.39752,1.42034,1.73659,0.78584,0.68722,0.77235,0.46244,1.46166,1.24018,1.7655,0.000494686,0.000494686,0.000494686
103,11499.6,1.40575,1.4412,1.73942,0.79482,0.68241,0.77058,0.46266,1.44462,1.20404,1.74962,0.000486873,0.000486873,0.000486873
104,11610.5,1.40598,1.43187,1.72792,0.79316,0.68381,0.77401,0.46705,1.44662,1.205,1.75363,0.000479065,0.000479065,0.000479065
105,11722.2,1.40135,1.40932,1.73128,0.77889,0.69615,0.77451,0.46778,1.43799,1.18698,1.73686,0.000471262,0.000471262,0.000471262
106,11833,1.38523,1.40507,1.72664,0.78984,0.69283,0.7788,0.47061,1.44634,1.22872,1.74933,0.000463467,0.000463467,0.000463467
107,11943.7,1.38255,1.41719,1.71764,0.80004,0.67896,0.77619,0.46871,1.45213,1.22351,1.74589,0.000455681,0.000455681,0.000455681
108,12055.6,1.39755,1.42309,1.72627,0.79589,0.6882,0.77967,0.47091,1.45485,1.1819,1.75384,0.000447907,0.000447907,0.000447907
109,12166.6,1.3854,1.39709,1.72202,0.81555,0.67726,0.77548,0.46563,1.45817,1.18976,1.75397,0.000440147,0.000440147,0.000440147
110,12277.5,1.3905,1.41132,1.72264,0.8106,0.68777,0.77811,0.47122,1.44831,1.18679,1.74911,0.000432402,0.000432402,0.000432402
111,12389.2,1.39765,1.40028,1.72191,0.78907,0.69382,0.77974,0.46955,1.45562,1.20535,1.75106,0.000424674,0.000424674,0.000424674
112,12500.8,1.3786,1.378,1.71575,0.81348,0.68588,0.783,0.47195,1.4465,1.24094,1.74329,0.000416965,0.000416965,0.000416965
113,12611.2,1.38426,1.37036,1.70442,0.81155,0.68585,0.78547,0.47378,1.44817,1.23983,1.73258,0.000409278,0.000409278,0.000409278
114,12722.5,1.38663,1.37911,1.71549,0.81818,0.6856,0.78459,0.47286,1.44427,1.24887,1.72967,0.000401613,0.000401613,0.000401613
115,12834.4,1.38703,1.39061,1.71898,0.81704,0.68358,0.78402,0.47157,1.45375,1.22824,1.75231,0.000393974,0.000393974,0.000393974
116,12945,1.37814,1.38232,1.71648,0.80469,0.69571,0.78408,0.47061,1.45054,1.2236,1.74875,0.000386361,0.000386361,0.000386361
117,13056,1.3809,1.36107,1.70694,0.80679,0.69178,0.78384,0.47328,1.44953,1.20113,1.74063,0.000378777,0.000378777,0.000378777
118,13167.9,1.3818,1.37357,1.71439,0.79236,0.70126,0.78311,0.47234,1.44039,1.17784,1.74037,0.000371223,0.000371223,0.000371223
119,13278.9,1.37767,1.36994,1.7056,0.79477,0.69174,0.78073,0.46838,1.44919,1.18206,1.74487,0.000363702,0.000363702,0.000363702
120,13389.3,1.37314,1.36639,1.71279,0.80671,0.69589,0.78417,0.47501,1.44167,1.17027,1.73248,0.000356215,0.000356215,0.000356215
121,13501.1,1.35726,1.33278,1.6895,0.80017,0.69354,0.78494,0.47206,1.45024,1.17754,1.74658,0.000348764,0.000348764,0.000348764
122,13611.9,1.36082,1.33248,1.69171,0.81444,0.69684,0.78897,0.47461,1.44976,1.18546,1.74301,0.000341351,0.000341351,0.000341351
123,13722.7,1.3586,1.34596,1.70267,0.7929,0.70043,0.78382,0.47259,1.45569,1.16939,1.75228,0.000333978,0.000333978,0.000333978
124,13835.5,1.36455,1.35002,1.69831,0.81106,0.69405,0.78422,0.47448,1.44263,1.1838,1.73772,0.000326646,0.000326646,0.000326646
125,13947.4,1.36229,1.33065,1.6892,0.80656,0.69357,0.78588,0.47478,1.44497,1.17486,1.74102,0.000319358,0.000319358,0.000319358
126,14058.3,1.3601,1.35072,1.69867,0.78909,0.70833,0.78501,0.4757,1.44052,1.17157,1.73761,0.000312115,0.000312115,0.000312115
127,14170.1,1.36215,1.3388,1.6907,0.80524,0.70548,0.79094,0.47669,1.44555,1.15739,1.73903,0.000304919,0.000304919,0.000304919
128,14281.7,1.36607,1.34132,1.69543,0.79366,0.70831,0.78811,0.47489,1.44296,1.16346,1.73966,0.000297772,0.000297772,0.000297772
129,14392.3,1.3565,1.3206,1.68668,0.78245,0.70957,0.78563,0.4753,1.44304,1.16368,1.7404,0.000290675,0.000290675,0.000290675
