epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4102.04,0.89573,0.89105,1.30796,0.87461,0.8416,0.90131,0.72212,0.81537,0.66418,1.21518,0.000239766,0.000239766,0.000239766
70,4160.32,0.90043,0.90058,1.31207,0.89239,0.82841,0.89993,0.72245,0.81259,0.6648,1.21092,0.000226769,0.000226769,0.000226769
71,4218.79,0.88774,0.89301,1.31037,0.90675,0.82404,0.90519,0.72467,0.817,0.65423,1.2111,0.000214046,0.000214046,0.000214046
72,4278.93,0.8889,0.88557,1.30795,0.89701,0.82323,0.90111,0.72679,0.8105,0.66272,1.21131,0.000201611,0.000201611,0.000201611
73,4339.25,0.88061,0.87961,1.30816,0.90389,0.81896,0.90223,0.72819,0.80718,0.6547,1.20858,0.000189475,0.000189475,0.000189475
74,4400.77,0.8794,0.8801,1.29904,0.90334,0.8221,0.90275,0.72726,0.80927,0.6536,1.20945,0.000177651,0.000177651,0.000177651
75,4460.38,0.87819,0.87229,1.29827,0.89609,0.82758,0.90325,0.72771,0.80763,0.64523,1.20659,0.000166149,0.000166149,0.000166149
76,4519.12,0.87499,0.86627,1.29676,0.89953,0.8247,0.90387,0.73018,0.80188,0.64493,1.20231,0.000154982,0.000154982,0.000154982
77,4577.63,0.8691,0.87104,1.29578,0.89968,0.82494,0.90598,0.73307,0.79806,0.64065,1.20199,0.000144161,0.000144161,0.000144161
78,4637.26,0.86219,0.85559,1.2888,0.88781,0.83981,0.9067,0.73253,0.80336,0.64398,1.20662,0.000133695,0.000133695,0.000133695
79,4696.62,0.85289,0.84771,1.28478,0.90017,0.82934,0.90683,0.73273,0.80602,0.64348,1.2049,0.000123596,0.000123596,0.000123596
80,4756.46,0.86048,0.84696,1.28587,0.89822,0.83551,0.90495,0.73326,0.80228,0.64269,1.20328,0.000113873,0.000113873,0.000113873
81,4815.93,0.85385,0.85138,1.28188,0.89823,0.8303,0.9042,0.73567,0.79925,0.64091,1.19823,0.000104537,0.000104537,0.000104537
82,4875.69,0.8557,0.84061,1.28508,0.91761,0.81305,0.9052,0.73422,0.80072,0.63996,1.20018,9.55951e-05,9.55951e-05,9.55951e-05
83,4933.96,0.85486,0.85179,1.2841,0.9138,0.81613,0.90522,0.73605,0.79702,0.6377,1.20008,8.70577e-05,8.70577e-05,8.70577e-05
84,4992.75,0.85049,0.84297,1.28046,0.90976,0.82108,0.9083,0.73855,0.79417,0.6335,1.19439,7.89327e-05,7.89327e-05,7.89327e-05
85,5057.6,0.84881,0.84641,1.28467,0.89704,0.83192,0.90807,0.73609,0.79798,0.63347,1.19725,7.12282e-05,7.12282e-05,7.12282e-05
86,5139.48,0.72244,0.57026,1.23679,0.91037,0.81818,0.90687,0.73549,0.79925,0.63606,1.19498,6.39518e-05,6.39518e-05,6.39518e-05
87,5209.65,0.71304,0.54293,1.2246,0.89687,0.83049,0.90765,0.73553,0.79908,0.63653,1.19411,5.71106e-05,5.71106e-05,5.71106e-05
88,5280.1,0.70809,0.53468,1.22206,0.89924,0.83425,0.90813,0.73421,0.79844,0.63442,1.19399,5.07115e-05,5.07115e-05,5.07115e-05
89,5351.11,0.69731,0.52932,1.21279,0.9067,0.8308,0.909,0.73517,0.79489,0.63419,1.1917,4.47606e-05,4.47606e-05,4.47606e-05
90,5422.18,0.69938,0.52528,1.21751,0.91303,0.82576,0.90888,0.73727,0.79414,0.63077,1.19174,3.9264e-05,3.9264e-05,3.9264e-05
91,5493.75,0.69144,0.51617,1.20445,0.9052,0.83171,0.90833,0.73841,0.79258,0.62897,1.19099,3.4227e-05,3.4227e-05,3.4227e-05
92,5565.01,0.69519,0.52699,1.2127,0.90804,0.83383,0.90898,0.73906,0.78983,0.62812,1.18904,2.96546e-05,2.96546e-05,2.96546e-05
93,5636.71,0.69015,0.51908,1.21183,0.90536,0.8332,0.90874,0.73963,0.78878,0.62604,1.18881,2.55513e-05,2.55513e-05,2.55513e-05
94,5708.33,0.6865,0.51674,1.2062,0.9074,0.83093,0.90848,0.74033,0.7883,0.6248,1.18789,2.19212e-05,2.19212e-05,2.19212e-05
95,5779.55,0.69226,0.51765,1.20857,0.90615,0.83639,0.90889,0.74105,0.78779,0.62292,1.18716,1.87678e-05,1.87678e-05,1.87678e-05
96,5874.51,0.68067,0.50916,1.20561,0.90459,0.83802,0.90917,0.743,0.78632,0.62349,1.18559,1.60943e-05,1.60943e-05,1.60943e-05
97,5944.44,0.68073,0.50855,1.19774,0.90626,0.83567,0.9094,0.74257,0.78585,0.623,1.18546,1.39032e-05,1.39032e-05,1.39032e-05
98,6014.51,0.69117,0.51527,1.21221,0.90145,0.83994,0.90947,0.742,0.78506,0.62279,1.1844,1.21968e-05,1.21968e-05,1.21968e-05
99,6083.06,0.67343,0.51,1.19412,0.90324,0.83802,0.90936,0.7417,0.78468,0.62323,1.1843,1.09768e-05,1.09768e-05,1.09768e-05
100,6147.94,0.68674,0.51007,1.20247,0.908,0.834,0.90945,0.74241,0.78448,0.62218,1.18389,1.02443e-05,1.02443e-05,1.02443e-05
